station_id,name,lat,lon,address,capacity,current
2,002 - Retiro 1234567,-34.5924,-58.3747,AV. Dr. José María Ramos Mejía 1300,40,0
3,003 - ADUANA,-34.6122,-58.3691,Av. Paseo Colón 380,28,1
4,004 - Plaza Roma,-34.603,-58.3689,Av. Corrientes 100,20,1
5,005 - Plaza Italia,-34.5805,-58.421,Av. Sarmiento 2601,42,1
6,006 - Parque Lezama,-34.6285,-58.3698,"Avenida Martin Garcia, 295",20,1
7,007 - OBELISCO,-34.6065,-58.3811,CARLOS PELEGRINI 215,24,1
8,008 - Congreso,-34.6094,-58.3893,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",24,1
9,009 - Parque Las Heras,-34.5854,-58.4077,"2300 Diaz, Cnel. Av. & French",24,1
12,012 - Plaza Vicente Lopez,-34.5927,-58.3888,Parana & Juncal,16,1
13,013 - ONCE,-34.6101,-58.406,Av. Pueyrredon & Av. Rivadavia,30,1
14,014 - Pacifico,-34.5774,-58.4264,"Santa Fe Av. & Bullrich, Int. Av.",30,1
17,017 - Plaza Almagro,-34.6064,-58.4187,"441 Bulnes & Peron, Juan Domingo, Tte. General",20,1
21,021 - Parque Patricios,-34.6401,-58.4064,Iguazu & Uspallata,23,0
22,022 - Arenales,-34.5939,-58.3825,Cerrito & Arenales,20,1
24,024 - ALSINA,-34.6106,-58.3809,Adolfo Alsina& Bernardo De Irigoyen,18,1
25,025 - Plaza Guemes,-34.5894,-58.4161,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",30,1
26,026 - JUANA MANSO I,-34.6008,-58.3639,"Manso Juana & De La Barra, Emma",30,1
27,027 - Montevideo,-34.5991,-58.3901,Cordoba Av. & Montevideo,20,1
29,029 - Parque Centenario,-34.6079,-58.4336,Av. Patricias Argentinas & Estivao,29,1
32,032 - Catedral,-34.6067,-58.3737,Bartolomé Mitre & San Martín,18,1
33,033 - Facultad de Medicina,-34.5971,-58.399,Pres. José Evaristo Uriburu 987,20,1
35,035 - INGENIERO BUTTY,-34.5964,-58.3718,Ing. E. Butty 291,32,1
36,036 - MAIPÚ,-34.6011,-58.3745,Tucumán 536,12,1
38,038 - Plaza Libertad,-34.597,-58.3828,Cerrito 990 y Av. Marcelo T. De Alvear,20,1
41,041 - PARQUE PATRICIOS II,-34.6371,-58.4059,Av Caseros 3015,20,1
43,334 - CENTRO DE EXPOSICIONES,-34.584,-58.3899,2133 Figueroa Alcorta,28,0
44,044 - Ecoparque,-34.5755,-58.4139,"Av. Del Libertador, 3260",20,1
45,045 - Uruguay,-34.6019,-58.3867,561 Uruguay & Av. Tucuman,20,1
46,046 - Chile,-34.6164,-58.3744,Perú 718,18,1
48,034 - Colonia Express,-34.6236,-58.3632,Elvira Rawson de Dellepiane 150,16,1
49,049 - 33 Orientales,-34.6292,-58.4248,Constitución 4288,16,1
50,050 - Hospital Rivadavia,-34.5837,-58.4011,2516 Pereyra Lucena,20,1
54,054 - Acuña de Figueroa,-34.5982,-58.4221,Lavalle 4015,20,1
56,056 - Plaza Palermo Viejo,-34.5886,-58.426,Costa Rica & Armenia,20,1
57,057 - BELGRANO,-34.6132,-58.3706,Balcarce 482,12,1
58,058 - Ministro Carranza,-34.5753,-58.4347,Santa Fe Av. & Dorrego,20,1
59,018 - Independencia,-34.6177,-58.3806,Idependencia y Bernardo de Irigoyen,20,1
60,060 - 25 De Mayo,-34.6017,-58.3711,527 25 De Mayo,20,1
61,098 - BENITO JUAREZ,-34.6189,-58.5052, Benito Juarez 2231,11,0
63,063 - Reconquista,-34.5998,-58.3747,Viamonte 555,28,1
64,064 - RIOBAMBA,-34.5937,-58.3941,Riobamba 1264 & Juncal,20,1
65,065 - Julián Álvarez,-34.5873,-58.4158,3822 Guemes,20,1
66,066 - Billinghurst,-34.5945,-58.4139,3508 Carcova,20,1
68,105 - PARQUE SAAVEDRA,-34.5521,-58.4805,García del Río 3590,16,1
69,069 - Ecuador,-34.5961,-58.4046,"1226 Ecuador & Mansilla, Lucio Norberto, General",16,1
70,070 - ARAOZ,-34.5927,-58.4261,1413 Araoz & Gorriti CABA,24,1
71,071 - CERRITO,-34.6027,-58.3834,Libertad & lavalle,30,1
73,073 - Ruy Díaz de Guzmán,-34.6307,-58.3718,Avenida Martin Garcia y Ruy Díaz de Guzmán,20,1
74,074 - INSTITUTO LELOIR,-34.6044,-58.4345,Juana De Ibarbourou & Av Patricias Argentinas,30,1
75,075 - Plaza Primero de Mayo,-34.6123,-58.399,238 Pichincha,20,1
76,076 - Ayacucho,-34.6074,-58.3951,"Ayacucho &Peron, Juan Domingo, Tte. General",20,1
77,109 - ESTACION PUEYRREDON,-34.5811,-58.5015,Bolivia 5071,16,1
79,079 - AZUCENA VILLAFLOR,-34.6119,-58.3639,"Villaflor, Azucena & Dealessi, Pierina",30,1
80,080 - VALLE,-34.6246,-58.4341,Valle 486,12,1
82,082 - HOSPITAL ITALIANO,-34.6079,-58.4264,394 Rawson & Potosi,20,1
83,083 - Paraná,-34.6033,-58.3894,1590 Lavalle,28,1
85,085 - AGUERO,-34.5948,-58.4092,"Aguero & Mansilla, Lucio Norberto, General",20,1
86,086 - SAAVEDRA,-34.6213,-58.4017,1019 Saavedra,20,1
