station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,status,last_refresh
2,16,1,23,0,2024-09-25 22:17:42,IN_SERVICE,2024-09-26 01:18:16.146525
3,0,16,12,0,2024-09-25 22:14:44,IN_SERVICE,2024-09-26 01:18:16.146525
4,1,1,18,0,2024-09-25 22:15:59,IN_SERVICE,2024-09-26 01:18:16.146525
5,20,1,21,0,2024-09-25 22:17:03,IN_SERVICE,2024-09-26 01:18:16.146525
6,20,0,0,0,2024-09-25 22:17:08,IN_SERVICE,2024-09-26 01:18:16.146525
7,0,0,24,0,2024-09-25 22:16:14,IN_SERVICE,2024-09-26 01:18:16.146525
8,4,1,19,0,2024-09-25 22:15:26,IN_SERVICE,2024-09-26 01:18:16.146525
9,1,4,19,0,2024-09-25 22:15:56,IN_SERVICE,2024-09-26 01:18:16.146525
12,0,0,16,0,2024-09-25 22:17:31,IN_SERVICE,2024-09-26 01:18:16.146525
13,0,1,29,0,2024-09-25 22:16:31,IN_SERVICE,2024-09-26 01:18:16.146525
14,10,0,20,0,2024-09-25 22:15:24,IN_SERVICE,2024-09-26 01:18:16.146525
17,1,3,16,0,2024-09-25 22:15:33,IN_SERVICE,2024-09-26 01:18:16.146525
21,9,8,7,0,2024-09-25 22:15:08,IN_SERVICE,2024-09-26 01:18:16.146525
22,0,0,20,0,2024-09-25 22:17:21,IN_SERVICE,2024-09-26 01:18:16.146525
24,0,1,17,0,2024-09-25 22:17:28,IN_SERVICE,2024-09-26 01:18:16.146525
25,4,2,24,0,2024-09-25 17:40:29,IN_SERVICE,2024-09-26 01:18:16.146525
26,2,1,27,0,2024-09-25 22:16:24,IN_SERVICE,2024-09-26 01:18:16.146525
27,1,1,18,0,2024-09-25 22:15:43,IN_SERVICE,2024-09-26 01:18:16.146525
29,6,2,21,0,2024-09-25 22:16:19,IN_SERVICE,2024-09-26 01:18:16.146525
32,0,3,15,0,2024-09-25 22:16:12,IN_SERVICE,2024-09-26 01:18:16.146525
33,1,0,19,0,2024-09-25 22:16:55,IN_SERVICE,2024-09-26 01:18:16.146525
35,1,1,30,0,2024-09-25 22:16:13,IN_SERVICE,2024-09-26 01:18:16.146525
36,0,1,11,0,2024-09-25 22:16:14,IN_SERVICE,2024-09-26 01:18:16.146525
38,1,0,19,0,2024-09-25 22:16:53,IN_SERVICE,2024-09-26 01:18:16.146525
41,0,1,19,0,2024-09-25 22:17:33,IN_SERVICE,2024-09-26 01:18:16.146525
