station_id,name,physical_configuration,lat,lon,altitude,address,post_code,capacity,is_charging_station,rental_methods,groups,obcn,short_name,nearby_distance,_ride_code_support,cross_street
2,002 - Retiro I,SMARTLITMAPFRAME,-34.5924,-58.3747,0.0,AV. Dr. José María Ramos Mejía 1300,11111,40,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],,,1000.0,True,
3,003 - ADUANA,SMARTLITMAPFRAME,-34.6122,-58.3691,,Av. Paseo Colón 380,C1063,28,False,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],,,1000.0,True,.
4,004 - Plaza Roma,SMARTLITMAPFRAME,-34.603,-58.3689,0.0,Av. Corrientes 100,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,
5,005 - Plaza Italia,SMARTLITMAPFRAME,-34.5805,-58.421,0.0,Av. Sarmiento 2601,1111,42,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
6,006 - Parque Lezama,SMARTLITMAPFRAME,-34.6285,-58.3698,0.0,"Avenida Martin Garcia, 295",1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN TELMO'],,,1000.0,True,
7,007 - OBELISCO,SMARTLITMAPFRAME,-34.6065,-58.3811,,CARLOS PELEGRINI 215,11111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,CARLOS PELEGRINI 215
8,008 - Congreso,SMARTLITMAPFRAME,-34.6094,-58.3893,0.0,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",11111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,
9,009 - Parque Las Heras,SMARTLITMAPFRAME,-34.5854,-58.4077,0.0,"2300 Diaz, Cnel. Av. & French",11111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
12,012 - Plaza Vicente Lopez,SMARTLITMAPFRAME,-34.5927,-58.3888,0.0,Parana & Juncal,11111,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,
13,013 - ONCE,SMARTLITMAPFRAME,-34.6101,-58.406,,Av. Pueyrredon & Av. Rivadavia,1111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BALVANERA'],,,1000.0,True,Av. Pueyrredon & Av. Rivadavia
14,014 - Pacifico,SMARTLITMAPFRAME,-34.5774,-58.4264,0.0,"Santa Fe Av. & Bullrich, Int. Av.",11111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
17,017 - Plaza Almagro,SMARTLITMAPFRAME,-34.6064,-58.4187,0.0,"441 Bulnes & Peron, Juan Domingo, Tte. General",11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['ALMAGRO'],,,1000.0,True,
21,021 - Parque Patricios,SMARTLITMAPFRAME,-34.6401,-58.4064,0.0,Iguazu & Uspallata,1111,24,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PARQUE PATRICIOS'],,,1000.0,True,
22,022 - Arenales,SMARTLITMAPFRAME,-34.5939,-58.3825,,Cerrito & Arenales,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],,,1000.0,True,Cerrito & Arenales
24,024 - ALSINA,SMARTLITMAPFRAME,-34.6106,-58.3809,,Adolfo Alsina& Bernardo De Irigoyen,11111,18,False,"['KEY', 'TRANSITCARD', 'PHONE']",['MONSERRAT'],,,1609.34,True,Adolfo Alsina& Bernardo De Irigoyen
25,025 - Plaza Guemes,SMARTLITMAPFRAME,-34.5894,-58.4161,0.0,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",11111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
26,026 - JUANA MANSO I,SMARTLITMAPFRAME,-34.6008,-58.3639,0.0,"Manso Juana & De La Barra, Emma",11111,30,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PUERTO MADERO'],,,1609.34,True,
27,027 - Montevideo,SMARTLITMAPFRAME,-34.5991,-58.3901,0.0,Cordoba Av. & Montevideo,1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,
29,029 - Parque Centenario,SMARTLITMAPFRAME,-34.6079,-58.4336,0.0,Av. Patricias Argentinas & Estivao,11111,29,False,"['KEY', 'TRANSITCARD', 'PHONE']",['CABALLITO'],,,1000.0,True,
32,032 - Catedral,SMARTLITMAPFRAME,-34.6067,-58.3737,0.0,Bartolomé Mitre & San Martín,11111,18,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,
33,033 - Facultad de Medicina,SMARTLITMAPFRAME,-34.5971,-58.399,0.0,Pres. José Evaristo Uriburu 987,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,"Uriburu Jose E., Pres. & Alvear, Marcelo T. De"
35,035 - INGENIERO BUTTY,SMARTLITMAPFRAME,-34.5964,-58.3718,,Ing. E. Butty 291,11111,32,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],,,1000.0,True,Ing. E. Butty 291 &  Av Leandro N.  Alem
36,036 - MAIPÚ,SMARTLITMAPFRAME,-34.6011,-58.3745,,Tucumán 536,C1049,12,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,Tucumán 536
38,038 - Plaza Libertad,SMARTLITMAPFRAME,-34.597,-58.3828,0.0,Cerrito 990 y Av. Marcelo T. De Alvear,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RETIRO'],,,1609.34,True,
41,041 - PARQUE PATRICIOS II,SMARTLITMAPFRAME,-34.6371,-58.4059,,Av Caseros 3015,1111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PARQUE PATRICIOS'],,,1000.0,True,"Urquiza, Gral. & Rondeau"
43,334 - CENTRO DE EXPOSICIONES,SMARTLITMAPFRAME,-34.584,-58.3899,,2133 Figueroa Alcorta,1111,27,False,"['KEY', 'TRANSITCARD', 'PHONE']",['RECOLETA'],,,1000.0,True,
44,044 - Ecoparque,SMARTLITMAPFRAME,-34.5755,-58.4139,0.0,"Av. Del Libertador, 3260",111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,
45,045 - Uruguay,SMARTLITMAPFRAME,-34.6019,-58.3867,0.0,561 Uruguay & Av. Tucuman,111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN NICOLAS'],,,1000.0,True,
46,046 - Chile,SMARTLITMAPFRAME,-34.6164,-58.3744,0.0,Perú 718,C1068,18,False,"['KEY', 'TRANSITCARD', 'PHONE']",['SAN TELMO'],,,1000.0,True,
48,034 - Colonia Express,SMARTLITMAPFRAME,-34.6236,-58.3632,,Elvira Rawson de Dellepiane 150,C1107,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PUERTO MADERO'],,,1000.0,True,paseo del bajo
49,049 - 33 Orientales,SMARTLITMAPFRAME,-34.6292,-58.4248,0.0,Constitución 4288,C1254,16,False,"['KEY', 'TRANSITCARD', 'PHONE']",['BOEDO'],,,1000.0,True,
50,050 - Hospital Rivadavia,SMARTLITMAPFRAME,-34.5837,-58.4011,,2516 Pereyra Lucena,11111,20,False,"['KEY', 'TRANSITCARD', 'PHONE']",['PALERMO'],,,1000.0,True,Pereyra Lucena & Av. General Las Heras
