station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
2,2,4,34,0,1729015136,False,IN_SERVICE,1,1,1,,2,0
3,0,2,26,0,1729015195,False,IN_SERVICE,1,1,1,,0,0
4,5,4,11,0,1729015228,False,IN_SERVICE,1,1,1,,5,0
5,12,3,27,0,1729015241,False,IN_SERVICE,1,1,1,,12,0
6,0,0,22,1,1729015220,False,IN_SERVICE,1,1,1,,0,0
7,2,0,22,0,1729015070,False,IN_SERVICE,1,1,1,,2,0
8,12,2,10,0,1729015137,False,IN_SERVICE,1,1,1,,12,0
9,1,3,20,0,1729015192,False,IN_SERVICE,1,1,1,,1,0
12,0,2,14,0,1729015153,False,IN_SERVICE,1,1,1,,0,0
13,3,1,26,0,1729015184,False,IN_SERVICE,1,1,1,,3,0
14,13,1,16,0,1729015072,False,IN_SERVICE,1,1,1,,13,0
17,1,0,19,0,1729015114,False,IN_SERVICE,1,1,1,,1,0
21,9,4,11,0,1729015111,False,IN_SERVICE,1,1,1,,9,0
22,0,1,19,0,1729015201,False,IN_SERVICE,1,1,1,,0,0
24,2,0,16,0,1729015217,False,IN_SERVICE,1,1,1,,2,0
25,1,0,29,0,1729015077,False,IN_SERVICE,1,1,1,,1,0
26,21,0,9,0,1729015193,False,IN_SERVICE,1,1,1,,21,0
27,1,3,16,0,1729015137,False,IN_SERVICE,1,1,1,,1,0
29,12,1,17,0,1729015071,False,IN_SERVICE,1,1,1,,12,0
32,0,0,18,0,1729015232,False,IN_SERVICE,1,1,1,,0,0
33,0,6,14,0,1729015117,False,IN_SERVICE,1,1,1,,0,0
35,10,4,18,0,1729015205,False,IN_SERVICE,1,1,1,,10,0
36,3,2,7,0,1729015159,False,IN_SERVICE,1,1,1,,3,0
38,6,6,8,0,1729015142,False,IN_SERVICE,1,1,1,,6,0
41,7,1,12,0,1729015153,False,IN_SERVICE,1,1,1,,7,0
43,9,0,19,0,1729015211,False,IN_SERVICE,1,1,1,,9,0
44,7,1,12,0,1729015127,False,IN_SERVICE,1,1,1,,7,0
45,2,0,18,0,1729015190,False,IN_SERVICE,1,1,1,,2,0
46,0,4,14,0,1729006893,False,IN_SERVICE,1,1,1,,0,0
48,3,3,10,0,1729015145,False,IN_SERVICE,1,1,1,,3,0
49,9,1,6,0,1729015098,False,IN_SERVICE,1,1,1,,9,0
50,4,1,15,0,1729015154,False,IN_SERVICE,1,1,1,,4,0
54,3,1,16,0,1729015152,False,IN_SERVICE,1,1,1,,3,0
56,12,0,8,0,1729015093,False,IN_SERVICE,1,1,1,,12,0
57,1,0,11,0,1729015238,False,IN_SERVICE,1,1,1,,1,0
58,4,1,16,0,1729015141,False,IN_SERVICE,1,1,1,,4,0
59,2,0,18,0,1729015191,False,IN_SERVICE,1,1,1,,2,0
60,15,1,4,0,1729015072,False,IN_SERVICE,1,1,1,,15,0
61,3,1,8,0,1729015083,False,IN_SERVICE,1,1,1,,3,0
63,11,1,16,0,1729015147,False,IN_SERVICE,1,1,1,,11,0
64,1,3,16,0,1729015208,False,IN_SERVICE,1,1,1,,1,0
65,1,1,18,0,1729015227,False,IN_SERVICE,1,1,1,,1,0
66,9,2,9,0,1729015166,False,IN_SERVICE,1,1,1,,9,0
68,6,1,9,0,1729015199,False,IN_SERVICE,1,1,1,,6,0
69,0,8,8,0,1729015105,False,IN_SERVICE,1,1,1,,0,0
70,5,0,18,0,1729015067,False,IN_SERVICE,1,1,1,,5,0
71,1,1,28,0,1729015227,False,IN_SERVICE,1,1,1,,1,0
73,0,3,17,0,1729015063,False,IN_SERVICE,1,1,1,,0,0
74,0,2,28,0,1729015234,False,IN_SERVICE,1,1,1,,0,0
75,2,3,15,0,1729014918,False,IN_SERVICE,1,1,1,,2,0
76,0,3,17,0,1729015105,False,IN_SERVICE,1,1,1,,0,0
77,3,0,13,0,1729015115,False,IN_SERVICE,1,1,1,,3,0
79,8,2,20,0,1729015238,False,IN_SERVICE,1,1,1,,8,0
80,0,0,12,0,1729015224,False,IN_SERVICE,1,1,1,,0,0
82,2,1,18,0,1729015185,False,IN_SERVICE,1,1,1,,2,0
83,0,1,27,0,1729015195,False,IN_SERVICE,1,1,1,,0,0
85,2,0,18,0,1729015242,False,IN_SERVICE,1,1,1,,2,0
86,4,0,16,0,1729015124,False,IN_SERVICE,1,1,1,,4,0
87,0,0,16,0,1729015232,False,IN_SERVICE,1,1,1,,0,0
89,10,1,9,0,1729014894,False,IN_SERVICE,1,1,1,,10,0
91,1,1,21,0,1729015235,False,IN_SERVICE,1,1,1,,1,0
92,0,0,20,1,1729015176,False,IN_SERVICE,1,1,1,,0,0
93,1,1,18,0,1729015136,False,IN_SERVICE,1,1,1,,1,0
94,10,0,20,0,1729015187,False,IN_SERVICE,1,1,1,,10,0
96,6,3,7,0,1729015078,False,IN_SERVICE,1,1,1,,6,0
98,7,0,9,0,1729014756,False,IN_SERVICE,1,1,1,,7,0
99,2,0,18,0,1729015142,False,IN_SERVICE,1,1,1,,2,0
101,13,1,6,0,1729015116,False,IN_SERVICE,1,1,1,,13,0
102,3,2,15,0,1729015170,False,IN_SERVICE,1,1,1,,3,0
104,13,1,17,0,1729015222,False,IN_SERVICE,1,1,1,,13,0
107,12,1,3,0,1729015070,False,IN_SERVICE,1,1,1,,12,0
111,26,2,2,0,1729015091,False,IN_SERVICE,1,1,1,,26,0
112,1,1,18,0,1729015231,False,IN_SERVICE,1,1,1,,1,0
114,5,0,7,0,1729015119,False,IN_SERVICE,1,1,1,,5,0
116,5,3,4,0,1729015076,False,IN_SERVICE,1,1,1,,5,0
117,1,4,15,0,1729015075,False,IN_SERVICE,1,1,1,,1,0
118,3,1,16,0,1729015079,False,IN_SERVICE,1,1,1,,3,0
120,2,0,18,1,1729015160,False,IN_SERVICE,1,1,1,,2,0
121,2,1,17,0,1729015193,False,IN_SERVICE,1,1,1,,2,0
122,0,0,23,0,1729015139,False,IN_SERVICE,1,1,1,,0,0
124,9,3,8,0,1729015069,False,IN_SERVICE,1,1,1,,9,0
126,7,2,7,0,1729015098,False,IN_SERVICE,1,1,1,,7,0
128,17,3,8,0,1729015188,False,IN_SERVICE,1,1,1,,17,0
130,15,1,24,0,1729015082,False,IN_SERVICE,1,1,1,,15,0
131,1,4,11,0,1729015132,False,IN_SERVICE,1,1,1,,1,0
132,0,0,12,0,1729015067,False,IN_SERVICE,1,1,1,,0,0
134,8,4,0,0,1729015090,False,IN_SERVICE,1,1,1,,8,0
135,9,0,11,0,1729015236,False,IN_SERVICE,1,1,1,,9,0
137,11,1,12,0,1729015213,False,IN_SERVICE,1,1,1,,11,0
138,11,0,1,0,1728986722,False,IN_SERVICE,1,1,1,,11,0
144,7,1,12,0,1729015082,False,IN_SERVICE,1,1,1,,7,0
146,5,2,14,2,1729015211,False,IN_SERVICE,1,1,1,,5,0
148,2,0,14,0,1729015204,False,IN_SERVICE,1,1,1,,2,0
