station_id,name,lat,lon,address,capacity,start_date,end_date,current
2,002 - Retiro I,-34.59242413,-58.37470989,AV. Dr. José María Ramos Mejía 1300,39,2024-04-23 22:58:01.802759,2024-09-17 18:49:58.994844,0
3,003 - ADUANA,-34.61220714255728,-58.36912906378899,Av. Paseo Colón 380,28,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.003807,0
4,004 - Plaza Roma,-34.6030082348981,-58.36885646243477,Av. Corrientes 100,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.004807,0
5,005 - Plaza Italia,-34.5805497,-58.4209542,Av. Sarmiento 2601,42,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.005808,0
6,006 - Parque Lezama,-34.628526,-58.369758,"Avenida Martin Garcia, 295",20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.006808,0
7,007 - OBELISCO,-34.606498,-58.381098,CARLOS PELEGRINI 215,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.007808,0
8,008 - Congreso,-34.6094218,-58.3893364,"Cevallos, Virrey& Yrigoyen, Hipolito Av.",24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.009212,0
9,009 - Parque Las Heras,-34.585443,-58.407741,"2300 Diaz, Cnel. Av. & French",24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.010293,0
12,012 - Plaza Vicente Lopez,-34.5927096,-58.388807,Parana & Juncal,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.011296,0
13,013 - ONCE,-34.61009,-58.406,Av. Pueyrredon & Av. Rivadavia,30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.012318,0
14,014 - Pacifico,-34.577424,-58.426387,"Santa Fe Av. & Bullrich, Int. Av.",30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.014179,0
17,017 - Plaza Almagro,-34.6064101,-58.4187306,"441 Bulnes & Peron, Juan Domingo, Tte. General",20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.015562,0
21,021 - Parque Patricios,-34.640111,-58.406432,Iguazu & Uspallata,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.016669,0
22,022 - Arenales,-34.5938629,-58.3825498,Cerrito & Arenales,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.017670,0
23,023 - Suipacha,-34.600139,-58.379836,Suipacha & Viamonte,12,2024-04-23 22:58:01.802759,,1
24,024 - ALSINA,-34.610583,-58.3808943,Adolfo Alsina& Bernardo De Irigoyen,18,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.018672,0
25,025 - Plaza Guemes,-34.5894269,-58.4161178,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.019664,0
26,026 - JUANA MANSO I,-34.600752,-58.3638723,"Manso Juana & De La Barra, Emma",30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.021662,0
27,027 - Montevideo,-34.599068,-58.3900887,Cordoba Av. & Montevideo,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.022737,0
29,029 - Parque Centenario,-34.6079414,-58.4335573,Av. Patricias Argentinas & Estivao,30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.023833,0
32,032 - Catedral,-34.60674458045258,-58.37365550287732,Bartolomé Mitre & San Martín,18,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.024825,0
33,033 - Facultad de Medicina,-34.5970909,-58.3989807,Pres. José Evaristo Uriburu 987,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.025833,0
35,035 - INGENIERO BUTTY,-34.5964246,-58.371847,Ing. E. Butty 291,32,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.026832,0
36,036 - MAIPÚ,-34.6010599,-58.3745346,Tucumán 536,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.027829,0
38,038 - Plaza Libertad,-34.5970497,-58.3828403,Cerrito 990 y Av. Marcelo T. De Alvear,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.028838,0
41,041 - PARQUE PATRICIOS II,-34.6371232,-58.4058883,Av Caseros 3015,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.029842,0
43,334 - CENTRO DE EXPOSICIONES,-34.584018,-58.389921,2133 Figueroa Alcorta,28,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.031522,0
45,045 - Uruguay,-34.6018635,-58.3866934,561 Uruguay & Av. Tucuman,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.033436,0
46,046 - Chile,-34.6163729,-58.37436969999999,Perú 718,18,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.038682,0
48,034 - Colonia Express,-34.6236397,-58.3632448,Elvira Rawson de Dellepiane 150,14,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.038682,0
49,049 - 33 Orientales,-34.6290527,-58.422611,Constitucion & Treinta Y Tres Orientales,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.038682,0
50,050 - Hospital Rivadavia,-34.5837348,-58.4010798,2516 Pereyra Lucena,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.038682,0
51,051 - TUCUMAN,-34.6014776,-58.3821261,Tucuman & 9 De Julio Av.,12,2024-04-23 22:58:01.802759,,1
54,054 - Acuña de Figueroa,-34.5982097,-58.4220694,Lavalle 4015,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.038682,0
56,056 - Plaza Palermo Viejo,-34.588567,-58.425999,Costa Rica & Armenia,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.047288,0
57,057 - BELGRANO,-34.61324972988651,-58.37064512890549,Balcarce 482,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
58,058 - Ministro Carranza,-34.5752773,-58.4346883,Santa Fe Av. & Dorrego,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
59,018 - Independencia,-34.617654,-58.380565,Idependencia y Bernardo de Irigoyen,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
60,060 - 25 De Mayo,-34.6016509,-58.371079,527 25 De Mayo,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
61,098 - BENITO JUAREZ,-34.6189273,-58.5051769, Benito Juarez 2231,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
63,063 - Reconquista,-34.59977772506695,-58.37468663054962,Viamonte 555,28,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
64,064 - RIOBAMBA,-34.5936508,-58.3941087,Riobamba 1264 & Juncal,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
65,065 - Julián Álvarez,-34.5873124,-58.4157873,3822 Guemes,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
66,066 - Billinghurst,-34.5945475,-58.4138713,3508 Carcova,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
68,105 - PARQUE SAAVEDRA,-34.552148,-58.480464,García del Río 3590,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
69,069 - Ecuador,-34.5961006,-58.4046092,"1226 Ecuador & Mansilla, Lucio Norberto, General",16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.051519,0
70,070 - ARAOZ,-34.5926862,-58.4260597,1413 Araoz & Gorriti CABA,24,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
71,071 - CERRITO,-34.6026673,-58.3833559,Libertad & lavalle,30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
73,073 - Ruy Díaz de Guzmán,-34.6306814,-58.3718235,Avenida Martin Garcia y Ruy Díaz de Guzmán,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
74,074 - INSTITUTO LELOIR,-34.60439,-58.43454,Juana De Ibarbourou & Av Patricias Argentinas,30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
75,075 - Plaza Primero de Mayo,-34.6122976,-58.3989871,238 Pichincha,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
76,076 - Ayacucho,-34.6074084,-58.3950548,"Ayacucho &Peron, Juan Domingo, Tte. General",20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
77,109 - ESTACION PUEYRREDON,-34.581135,-58.501487,Bolivia 5071,16,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
79,079 - AZUCENA VILLAFLOR,-34.61189,-58.36393,"Villaflor, Azucena & Dealessi, Pierina",30,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
80,080 - VALLE,-34.6245807,-58.43412319999999,Valle 486,12,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
82,082 - HOSPITAL ITALIANO,-34.6078917,-58.4263947,394 Rawson & Potosi,20,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
83,083 - Paraná,-34.603269,-58.3893728,1590 Lavalle,28,2024-04-23 22:58:01.802759,2024-09-17 18:49:59.064449,0
