station_id,num_bikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,last_reported,is_charging_station,status,is_installed,is_renting,is_returning,traffic,num_bikes_available_types.mechanical,num_bikes_available_types.ebike
2,20,0,20,0,1726438148,False,IN_SERVICE,1,1,1,,20,0
3,2,0,26,0,1726438199,False,IN_SERVICE,1,1,1,,2,0
4,5,1,14,1,1726438120,False,IN_SERVICE,1,1,1,,5,0
5,20,3,19,1,1726438171,False,IN_SERVICE,1,1,1,,20,0
6,6,0,14,0,1726438052,False,IN_SERVICE,1,1,1,,6,0
7,2,1,21,0,1726438086,False,IN_SERVICE,1,1,1,,2,0
8,11,0,13,0,1726438166,False,IN_SERVICE,1,1,1,,11,0
9,8,1,15,0,1726438157,False,IN_SERVICE,1,1,1,,8,0
12,9,0,7,0,1726438122,False,IN_SERVICE,1,1,1,,9,0
13,8,1,21,0,1726438197,False,IN_SERVICE,1,1,1,,8,0
14,6,0,24,0,1726438078,False,IN_SERVICE,1,1,1,,6,0
17,0,1,19,0,1726438115,False,IN_SERVICE,1,1,1,,0,0
21,21,0,3,0,1726438100,False,IN_SERVICE,1,1,1,,21,0
22,2,0,18,0,1726438177,False,IN_SERVICE,1,1,1,,2,0
24,2,0,16,0,1726438086,False,IN_SERVICE,1,1,1,,2,0
25,2,0,28,0,1726438113,False,IN_SERVICE,1,1,1,,2,0
26,3,0,27,0,1726438141,False,IN_SERVICE,1,1,1,,3,0
27,3,2,15,0,1726438233,False,IN_SERVICE,1,1,1,,3,0
29,19,5,5,0,1726438205,False,IN_SERVICE,1,1,1,,19,0
32,2,0,16,0,1726438097,False,IN_SERVICE,1,1,1,,2,0
33,1,0,19,0,1726438204,False,IN_SERVICE,1,1,1,,1,0
35,2,3,27,0,1726438157,False,IN_SERVICE,1,1,1,,2,0
36,1,2,9,0,1726438218,False,IN_SERVICE,1,1,1,,1,0
38,3,1,16,0,1726438196,False,IN_SERVICE,1,1,1,,3,0
41,7,1,10,0,1726438101,False,IN_SERVICE,1,1,1,,7,0
43,21,1,6,0,1726438145,False,IN_SERVICE,1,1,1,,21,0
44,9,2,9,0,1726438085,False,IN_SERVICE,1,1,1,,9,0
45,0,0,20,0,1726438130,False,IN_SERVICE,1,1,1,,0,0
46,11,1,6,0,1726438111,False,IN_SERVICE,1,1,1,,11,0
48,2,0,14,0,1726438063,False,IN_SERVICE,1,1,1,,2,0
49,2,1,13,0,1726438082,False,IN_SERVICE,1,1,1,,2,0
50,9,3,8,0,1726438139,False,IN_SERVICE,1,1,1,,9,0
54,5,1,14,0,1726438179,False,IN_SERVICE,1,1,1,,5,0
56,5,2,13,0,1726438138,False,IN_SERVICE,1,1,1,,5,0
57,4,1,7,0,1726438147,False,IN_SERVICE,1,1,1,,4,0
58,6,1,13,0,1726438198,False,IN_SERVICE,1,1,1,,6,0
59,1,1,18,0,1726438214,False,IN_SERVICE,1,1,1,,1,0
60,0,0,20,0,1726438218,False,IN_SERVICE,1,1,1,,0,0
61,2,4,6,0,1726438126,False,IN_SERVICE,1,1,1,,2,0
63,0,2,26,0,1726438216,False,IN_SERVICE,1,1,1,,0,0
64,0,1,19,0,1726438164,False,IN_SERVICE,1,1,1,,0,0
65,2,0,18,0,1726438123,False,IN_SERVICE,1,1,1,,2,0
66,4,1,15,0,1726438210,False,IN_SERVICE,1,1,1,,4,0
68,6,2,8,0,1726438172,False,IN_SERVICE,1,1,1,,6,0
69,1,1,14,0,1726438103,False,IN_SERVICE,1,1,1,,1,0
70,3,0,21,0,1726438189,False,IN_SERVICE,1,1,1,,3,0
71,4,1,25,0,1726438145,False,IN_SERVICE,1,1,1,,4,0
73,8,0,12,0,1726438111,False,IN_SERVICE,1,1,1,,8,0
74,6,5,19,0,1726438131,False,IN_SERVICE,1,1,1,,6,0
75,11,1,8,0,1726438214,False,IN_SERVICE,1,1,1,,11,0
76,2,0,18,0,1726438127,False,IN_SERVICE,1,1,1,,2,0
77,1,1,14,0,1726438138,False,IN_SERVICE,1,1,1,,1,0
79,24,1,5,0,1726438143,False,IN_SERVICE,1,1,1,,24,0
80,5,3,4,0,1726438142,False,IN_SERVICE,1,1,1,,5,0
82,3,3,14,0,1726438072,False,IN_SERVICE,1,1,1,,3,0
83,2,0,26,0,1726438185,False,IN_SERVICE,1,1,1,,2,0
85,6,0,14,0,1726438100,False,IN_SERVICE,1,1,1,,6,0
86,7,1,12,0,1726438151,False,IN_SERVICE,1,1,1,,7,0
87,3,1,12,0,1726438228,False,IN_SERVICE,1,1,1,,3,0
89,3,0,17,0,1726438163,False,IN_SERVICE,1,1,1,,3,0
91,4,0,20,0,1726438056,False,IN_SERVICE,1,1,1,,4,0
92,3,0,17,0,1726438227,False,IN_SERVICE,1,1,1,,3,0
93,8,1,11,0,1726438195,False,IN_SERVICE,1,1,1,,8,0
94,13,5,11,0,1726438189,False,IN_SERVICE,1,1,1,,13,0
96,1,0,15,0,1726438193,False,IN_SERVICE,1,1,1,,1,0
98,2,2,12,0,1726438233,False,IN_SERVICE,1,1,1,,2,0
99,0,1,19,0,1726438176,False,IN_SERVICE,1,1,1,,0,0
101,9,1,10,0,1726438081,False,IN_SERVICE,1,1,1,,9,0
